LogID,Timestamp,SourceIP,DestinationIP,DataVolume,AnomalyScore
NET_51,2023-08-28 23:29:00,192.168.129.125,10.0.124.120,3.2480933221496513,0.08597929011163596
NET_52,2023-01-21 05:16:00,192.168.120.252,10.0.209.125,462.5897571828654,0.24463233762086167
NET_53,2023-01-05 04:12:00,192.168.246.69,10.0.82.212,161.61161148410042,0.859261314142935
NET_54,2023-05-14 05:36:00,192.168.26.187,10.0.2.15,115.16519188503908,0.30245487361054146
NET_55,2023-07-13 07:57:00,192.168.87.1,10.0.213.251,204.52159264700154,0.03617106340766152
NET_56,2023-12-23 21:18:00,192.168.6.188,10.0.19.39,4.15777954347707,0.07324784055656841
NET_57,2023-05-11 12:21:00,192.168.132.109,10.0.6.128,226.89086772414205,0.2890960894232346
NET_58,2023-07-24 05:41:00,192.168.72.237,10.0.112.116,212.04068220273678,0.9001748757827851
NET_59,2023-07-30 19:04:00,192.168.31.137,10.0.141.53,214.53271295096383,0.6640164382752928
NET_60,2023-04-24 23:23:00,192.168.84.64,10.0.241.79,81.33886790585989,0.7285218978127822
NET_61,2023-01-22 12:23:00,192.168.166.21,10.0.40.45,290.69053745088183,0.871551556386453
NET_62,2023-11-12 02:21:00,192.168.116.30,10.0.143.156,94.621739080981,0.3503527325719842
NET_63,2023-03-13 09:46:00,192.168.186.33,10.0.81.57,49.155037604556924,0.6662235856331941
NET_64,2023-05-28 05:42:00,192.168.183.168,10.0.153.46,38.98876136746366,0.3244913513599954
NET_65,2023-11-16 05:35:00,192.168.243.29,10.0.81.100,352.26720441548395,0.434990352191697
NET_66,2023-06-21 08:02:00,192.168.213.204,10.0.62.169,344.17916194532074,0.046626315814883745
NET_67,2023-09-06 14:48:00,192.168.68.200,10.0.48.221,377.4813653755523,0.16748266373262455
NET_68,2023-08-04 17:00:00,192.168.1.106,10.0.123.45,102.10137739619732,0.7534004365628211
NET_69,2023-09-07 04:11:00,192.168.71.66,10.0.108.140,425.2007824068916,0.29982145004462435
NET_70,2023-09-30 04:07:00,192.168.39.109,10.0.229.198,293.01773162186225,0.6835272967859672
NET_71,2023-04-05 22:19:00,192.168.152.102,10.0.53.32,53.05506610571001,0.12421032137994148
NET_72,2023-07-17 05:27:00,192.168.114.36,10.0.36.162,468.85432789498634,0.43938963813535437
NET_73,2023-12-03 12:26:00,192.168.136.201,10.0.59.54,189.3617651934552,0.9280005267132876
NET_74,2023-09-20 08:15:00,192.168.201.110,10.0.221.207,315.91415472975143,0.4580015753406128
NET_75,2023-12-29 14:34:00,192.168.30.179,10.0.119.21,175.8320957681709,0.43359823172813483
NET_76,2023-05-30 22:36:00,192.168.30.76,10.0.46.221,12.192623224920373,0.4517473038741632
NET_77,2023-06-18 01:13:00,192.168.161.115,10.0.59.70,236.76274625583832,0.33217587922316305
NET_78,2023-01-29 05:33:00,192.168.161.134,10.0.52.187,344.72320474975334,0.06461771558197738
NET_79,2023-06-19 04:47:00,192.168.12.183,10.0.153.76,476.2819934300673,0.5975043300763023
NET_80,2023-01-27 13:43:00,192.168.240.183,10.0.175.188,307.672182485431,0.9959279330970668
NET_81,2023-01-02 08:37:00,192.168.252.5,10.0.165.148,48.85138925077597,0.28742862442388317
NET_82,2023-07-15 12:33:00,192.168.81.18,10.0.64.135,156.72953198977186,0.9840500357330273
NET_83,2023-11-11 01:52:00,192.168.56.223,10.0.194.134,444.0354795440771,0.4811477231950618
NET_84,2023-08-13 21:09:00,192.168.184.42,10.0.213.112,357.55907073302154,0.5911294483401761
NET_85,2023-10-07 14:14:00,192.168.168.120,10.0.224.76,404.6261370882933,0.8560729444725
NET_86,2023-09-02 21:16:00,192.168.213.135,10.0.164.193,322.5593285770053,0.06741129595247686
NET_87,2023-02-03 09:51:00,192.168.238.150,10.0.169.233,374.06031126044485,0.525764023904124
NET_88,2023-10-20 07:08:00,192.168.48.154,10.0.142.6,398.0340115529143,0.21640843021200573
NET_89,2023-08-17 17:12:00,192.168.215.253,10.0.61.200,400.92362456717274,0.9177443321001446
NET_90,2023-02-17 16:13:00,192.168.234.160,10.0.166.245,355.01525820333626,0.6843060661605266
NET_91,2023-12-30 16:24:00,192.168.2.8,10.0.118.204,486.25592674612744,0.9715188884824493
NET_92,2023-07-27 12:06:00,192.168.144.19,10.0.160.228,396.045290962545,0.42762472466802304
NET_93,2023-09-06 00:43:00,192.168.160.117,10.0.226.189,200.1904812860142,0.6357160621388184
NET_94,2023-06-12 02:11:00,192.168.242.41,10.0.93.227,215.98954489052392,0.9301467105608705
NET_95,2023-08-28 13:47:00,192.168.241.83,10.0.36.152,226.4576915472421,0.6184173227995007
NET_96,2023-09-10 09:38:00,192.168.198.11,10.0.15.249,481.2669901398767,0.33724076411394954
NET_97,2023-08-15 18:09:00,192.168.127.170,10.0.225.238,264.45325781109864,0.8702233238970686
NET_98,2023-01-14 00:48:00,192.168.201.25,10.0.180.248,53.48601231052103,0.6888448599590142
NET_99,2023-04-13 23:46:00,192.168.139.191,10.0.63.167,60.048552466191,0.21850820247614855
NET_100,2023-09-11 04:58:00,192.168.239.238,10.0.238.254,346.9855156285313,0.6722167777570162
NET_101,2023-05-17 08:21:00,192.168.25.223,10.0.224.102,34.224792269028384,0.39497008478400575
NET_102,2023-09-06 21:07:00,192.168.215.4,10.0.246.153,404.8196694440309,0.538658265512631
NET_103,2023-09-30 23:25:00,192.168.88.245,10.0.95.68,327.9328129513109,0.6330894025718977
NET_104,2023-03-29 16:23:00,192.168.82.68,10.0.110.116,26.28665502268702,0.014414382774994183
NET_105,2023-04-07 02:56:00,192.168.196.231,10.0.242.202,164.18970534404895,0.7506336436096983
NET_106,2023-02-01 10:42:00,192.168.71.169,10.0.137.95,8.711447581632346,0.26162544284254674
NET_107,2023-04-02 20:57:00,192.168.100.101,10.0.55.70,20.722923459420638,0.0700006189441661
NET_108,2023-04-03 12:49:00,192.168.138.144,10.0.207.191,495.85293651223344,0.6319418049985012
NET_109,2023-07-31 08:01:00,192.168.149.249,10.0.174.135,281.9407709907368,0.9166254759265493
NET_110,2023-01-21 23:12:00,192.168.159.10,10.0.81.92,239.31307645996304,0.7824888121851591
NET_111,2023-12-05 23:31:00,192.168.51.161,10.0.230.167,37.83547645298372,0.6402266413922164
NET_112,2023-05-29 14:07:00,192.168.35.193,10.0.97.173,377.02886020578785,0.23171546330314752
NET_113,2023-09-09 10:36:00,192.168.196.97,10.0.83.102,72.42807495753978,0.05825704843719781
NET_114,2023-03-24 08:47:00,192.168.249.236,10.0.13.45,196.84050267693502,0.29403462749870957
NET_115,2023-11-06 09:51:00,192.168.155.109,10.0.4.202,56.02823481617691,0.2769341179681799
NET_116,2023-08-27 14:15:00,192.168.58.105,10.0.43.61,447.78287732237334,0.2954036170973159
NET_117,2023-01-24 22:11:00,192.168.137.208,10.0.117.138,167.61434739300338,0.7817340338492266
NET_118,2023-09-24 11:38:00,192.168.7.118,10.0.185.135,347.1318413991653,0.30429711836435036
NET_119,2023-05-07 17:31:00,192.168.58.153,10.0.149.133,121.00911198621235,0.4952717485266259
NET_120,2023-12-05 00:46:00,192.168.9.22,10.0.135.188,407.50272415770536,0.5251624436823422
NET_121,2023-04-18 21:29:00,192.168.162.31,10.0.189.202,487.2618776572641,0.6295688570397003
NET_122,2023-07-26 21:17:00,192.168.73.204,10.0.26.198,248.12500524457852,0.8155764988804269
NET_123,2023-04-20 10:17:00,192.168.19.140,10.0.127.162,206.95837406946566,0.8107711319457849
NET_124,2023-02-08 07:05:00,192.168.215.132,10.0.140.204,222.8123088231213,0.2046726316789116
NET_125,2023-03-13 23:50:00,192.168.14.2,10.0.19.162,189.8108281964537,0.3894761107293654
NET_126,2023-03-21 21:36:00,192.168.176.21,10.0.240.237,333.35106332731425,0.3971787498493904
NET_127,2023-04-26 07:05:00,192.168.93.209,10.0.179.54,155.8610118154947,0.5553519842711455
NET_128,2023-03-31 06:30:00,192.168.18.95,10.0.206.101,209.8752216222735,0.8864243472995761
NET_129,2023-03-18 10:01:00,192.168.50.153,10.0.245.116,406.9707525950206,0.45678742469548317
NET_130,2023-09-03 12:44:00,192.168.231.190,10.0.112.184,396.23999771059357,0.5929172520836479
NET_131,2023-02-16 10:23:00,192.168.251.114,10.0.149.54,496.75067675119413,0.2571156555549492
NET_132,2023-04-27 13:40:00,192.168.182.249,10.0.178.91,192.1994444523474,0.7327563575416461
NET_133,2023-03-17 03:43:00,192.168.191.184,10.0.231.151,72.81512110153328,0.9821325848153358
NET_134,2023-02-13 08:24:00,192.168.134.147,10.0.144.219,474.4773782889567,0.510868126293675
NET_135,2023-11-11 12:01:00,192.168.111.237,10.0.134.168,81.6573723352076,0.0031715956277544866
NET_136,2023-06-03 00:51:00,192.168.6.180,10.0.122.117,314.0890545049073,0.26524300265549383
NET_137,2023-12-27 00:25:00,192.168.204.7,10.0.43.43,61.45414812180639,0.9888700872575305
NET_138,2023-09-04 08:52:00,192.168.251.251,10.0.178.222,28.70267197611383,0.24279431395303375
NET_139,2023-10-01 22:41:00,192.168.35.87,10.0.147.55,51.67084880470422,0.9555672952178701
NET_140,2023-07-13 12:06:00,192.168.214.63,10.0.85.139,12.06886843540776,0.46692683623436826
NET_141,2023-08-11 16:12:00,192.168.160.226,10.0.196.186,415.3444087094325,0.30740450089288796
NET_142,2023-07-20 10:59:00,192.168.103.146,10.0.187.134,320.9775882311293,0.9433784787621231
NET_143,2023-07-01 12:59:00,192.168.242.83,10.0.157.121,330.23114561914076,0.060690708652954006
NET_144,2023-03-15 18:18:00,192.168.118.218,10.0.118.200,396.56999394670277,0.9631709304292659
NET_145,2023-08-17 02:20:00,192.168.28.74,10.0.97.100,366.3416412384872,0.20964165518443556
NET_146,2023-09-27 02:10:00,192.168.113.83,10.0.240.195,25.01700973594574,0.3068299314125972
NET_147,2023-09-07 02:41:00,192.168.216.104,10.0.72.66,378.600328827261,0.013616750349992435
NET_148,2023-10-13 07:41:00,192.168.186.57,10.0.14.227,192.9695422242149,0.5100730081262854
NET_149,2023-03-01 07:09:00,192.168.118.175,10.0.235.9,453.5159260194903,0.2362003769027552
NET_150,2023-06-17 12:15:00,192.168.152.167,10.0.54.140,379.20709696693,0.8023149374649406
NET_151,2023-12-11 03:09:00,192.168.245.163,10.0.107.202,490.55382003501023,0.18568465657256283
NET_152,2023-07-12 14:02:00,192.168.211.108,10.0.107.20,354.21687949756654,0.22061741179545258
NET_153,2023-06-25 05:20:00,192.168.173.35,10.0.219.115,38.8683649415978,0.7672999719993833
NET_154,2023-05-04 14:12:00,192.168.105.44,10.0.173.188,353.9962007752947,0.5090050251674213
NET_155,2023-05-31 23:25:00,192.168.123.10,10.0.175.169,170.84712752467263,0.2641386722013852
NET_156,2023-02-09 06:12:00,192.168.244.101,10.0.15.162,135.67448675016377,0.5261017469418248
NET_157,2023-12-29 04:30:00,192.168.215.103,10.0.94.102,136.62267915396492,0.7521165531570169
NET_158,2023-08-17 11:51:00,192.168.60.116,10.0.115.69,157.61910348004372,0.6912198858215147
NET_159,2023-11-02 18:44:00,192.168.76.176,10.0.196.128,496.1036192653559,0.013016114368238463
NET_160,2023-01-27 15:25:00,192.168.250.116,10.0.242.107,36.111934248766296,0.7076252528092047
NET_161,2023-02-24 07:36:00,192.168.179.171,10.0.134.44,350.8921498295628,0.6356880710938191
NET_162,2023-02-08 01:01:00,192.168.161.44,10.0.145.109,496.9390051999696,0.9367151003149206
NET_163,2023-02-18 09:14:00,192.168.70.2,10.0.184.105,117.35138227459498,0.3879893401071832
NET_164,2023-06-26 11:12:00,192.168.85.255,10.0.238.111,485.3102552159796,0.8827550291996402
NET_165,2023-03-03 19:13:00,192.168.189.215,10.0.2.88,319.6437348023111,0.8683769164190682
NET_166,2023-06-27 09:56:00,192.168.167.231,10.0.131.95,186.06992065885493,0.1471020640555143
NET_167,2023-05-05 07:01:00,192.168.242.115,10.0.215.106,108.02766529825058,0.33683149616754393
NET_168,2023-08-25 02:58:00,192.168.17.49,10.0.79.13,95.44767298960687,0.31246369749684444
NET_169,2023-08-05 10:50:00,192.168.7.181,10.0.64.132,260.78469046712996,0.3197950472661468
NET_170,2023-05-22 11:42:00,192.168.216.119,10.0.178.156,32.31871259969611,0.20384969326166058
NET_171,2023-03-26 15:22:00,192.168.208.113,10.0.216.176,147.4328980171467,0.4401963587767451
NET_172,2023-07-17 12:13:00,192.168.57.203,10.0.84.51,110.69309182850633,0.5206215971506194
NET_173,2023-06-09 16:18:00,192.168.46.224,10.0.235.132,227.75685315443633,0.7447501489557486
NET_174,2023-12-12 10:09:00,192.168.9.179,10.0.174.58,341.7972040935635,0.4588018996585884
NET_175,2023-06-17 23:35:00,192.168.230.175,10.0.198.174,223.0056401614823,0.17847315587238732
NET_176,2023-12-04 03:54:00,192.168.242.17,10.0.163.252,478.3855627500819,0.4865136793034499
NET_177,2023-10-03 05:32:00,192.168.182.134,10.0.196.158,58.913399279062915,0.6809662405907615
NET_178,2023-02-10 04:03:00,192.168.93.187,10.0.198.9,110.04152990978655,0.8895124541763331
NET_179,2023-01-27 11:12:00,192.168.44.92,10.0.245.179,105.81234359400177,0.022355200386636298
NET_180,2023-07-24 17:53:00,192.168.57.252,10.0.110.63,83.36578165441858,0.5942359623363274
NET_181,2023-03-07 23:27:00,192.168.215.138,10.0.207.229,144.79580101389618,0.824919027748397
NET_182,2023-11-15 03:28:00,192.168.190.222,10.0.112.56,130.1524344185269,0.5605001370650814
NET_183,2023-02-05 23:35:00,192.168.109.171,10.0.248.62,313.1585707038727,0.1880126615014619
NET_184,2023-01-22 23:58:00,192.168.226.253,10.0.91.3,250.89670387763968,0.7137347288704518
NET_185,2023-05-16 15:09:00,192.168.154.131,10.0.205.58,258.3374473736671,0.5186765302832782
NET_186,2023-12-07 07:51:00,192.168.73.156,10.0.120.227,84.8902110394812,0.01831058695574228
NET_187,2023-09-15 08:40:00,192.168.83.143,10.0.21.79,247.4124158087133,0.5666238636845952
NET_188,2023-08-26 23:05:00,192.168.148.40,10.0.230.168,65.38742566027237,0.5262872388579422
NET_189,2023-02-11 17:09:00,192.168.220.222,10.0.190.193,408.8139257206606,0.7552626924249045
NET_190,2023-10-21 13:13:00,192.168.101.50,10.0.55.241,299.75938650251805,0.6050645680478991
NET_191,2023-05-29 00:51:00,192.168.136.128,10.0.159.15,252.54964226879946,0.827878220504182
NET_192,2023-02-23 00:28:00,192.168.252.70,10.0.222.7,233.00262007148004,0.18619394485427865
NET_193,2023-11-03 05:44:00,192.168.150.132,10.0.182.41,442.1619908360278,0.8274735566056983
NET_194,2023-04-24 04:05:00,192.168.83.8,10.0.4.41,140.318882372379,0.5545330107176298
NET_195,2023-02-17 21:47:00,192.168.102.53,10.0.244.196,395.29274634538183,0.1370851554271484
NET_196,2023-01-31 12:48:00,192.168.241.178,10.0.242.119,311.0589372889418,0.5773395897268571
NET_197,2023-03-03 16:51:00,192.168.136.6,10.0.53.80,344.2180530404044,0.303922158991226
NET_198,2023-04-16 13:53:00,192.168.141.247,10.0.117.224,89.99095971219106,0.8846492710513821
NET_199,2023-03-28 13:58:00,192.168.37.154,10.0.15.113,95.72788199556291,0.8408709635835903
NET_200,2023-06-29 09:28:00,192.168.98.210,10.0.5.37,476.0519933730059,0.5501389806266153
NET_201,2023-02-20 11:12:00,192.168.234.175,10.0.21.45,474.78386183638185,0.21790591363279932
NET_202,2023-03-20 12:51:00,192.168.28.93,10.0.221.7,406.5431791728733,0.9913111895479385
NET_203,2023-09-22 20:24:00,192.168.199.200,10.0.158.48,355.43463823282684,0.5948506438266509
NET_204,2023-09-10 12:12:00,192.168.84.48,10.0.25.55,7.477636163216849,0.0013352340621809455
NET_205,2023-12-23 22:26:00,192.168.30.171,10.0.193.55,197.68795318396698,0.9536511629252951
NET_206,2023-09-12 19:39:00,192.168.213.233,10.0.78.5,95.44047335311983,0.07652511209244717
NET_207,2023-04-20 22:19:00,192.168.17.238,10.0.135.76,118.32611154427885,0.3398715170751919
NET_208,2023-07-26 15:25:00,192.168.221.248,10.0.106.74,218.50598896169868,0.3416300203845166
NET_209,2023-10-19 19:36:00,192.168.66.32,10.0.216.170,320.37182704186085,0.12888007758208464
NET_210,2023-08-22 07:23:00,192.168.158.12,10.0.251.40,111.06098986414715,0.9576255733674844
NET_211,2023-03-03 10:31:00,192.168.135.243,10.0.84.36,76.46030274110358,0.6525400676923914
NET_212,2023-03-13 14:17:00,192.168.165.235,10.0.153.132,167.2126260216128,0.8738346811356468
NET_213,2023-10-06 05:26:00,192.168.45.155,10.0.166.119,340.349200765439,0.3483301654017118
NET_214,2023-09-27 15:45:00,192.168.207.99,10.0.27.205,151.82945004438753,0.02703557744188967
NET_215,2023-06-28 05:33:00,192.168.192.165,10.0.23.145,484.91030842400505,0.9673619284042226
NET_216,2023-01-20 02:09:00,192.168.192.66,10.0.206.123,0.28151444409429205,0.9911523451539552
NET_217,2023-12-01 06:00:00,192.168.16.227,10.0.109.117,120.61809797750516,0.22804035694192526
NET_218,2023-03-09 20:14:00,192.168.24.223,10.0.201.248,441.59755981035266,0.5903094717200661
NET_219,2023-05-28 03:51:00,192.168.183.135,10.0.17.154,320.1799568704523,0.8171682451435183
NET_220,2023-03-23 16:46:00,192.168.228.3,10.0.59.65,320.4293052571251,0.5470006233097795
NET_221,2023-04-15 14:33:00,192.168.113.218,10.0.206.85,96.29134055171312,0.8724242307675161
NET_222,2023-10-02 07:57:00,192.168.192.5,10.0.211.8,150.49430045082295,0.17378098908968698
NET_223,2023-09-27 19:36:00,192.168.2.232,10.0.142.229,378.27195086724674,0.771998734037339
NET_224,2023-11-19 10:47:00,192.168.73.148,10.0.251.187,31.365883311062095,0.4046258451847553
NET_225,2023-10-13 13:44:00,192.168.58.190,10.0.180.74,53.793766448287506,0.9679449077837062
NET_226,2023-09-03 05:10:00,192.168.251.112,10.0.57.98,200.09625709950492,0.786799920019279
NET_227,2023-02-11 09:49:00,192.168.103.194,10.0.97.34,338.9676352647071,0.7079313805285248
NET_228,2023-01-31 18:43:00,192.168.5.38,10.0.208.194,46.01778023297627,0.5717099424279848
NET_229,2023-09-12 11:45:00,192.168.233.192,10.0.9.76,441.85021410616537,0.43257486402713785
NET_230,2023-02-10 20:07:00,192.168.90.223,10.0.82.173,93.67477473861369,0.3181342120395695
NET_231,2023-09-08 11:48:00,192.168.247.169,10.0.132.123,105.11146797438862,0.2959672019364379
NET_232,2023-12-01 07:51:00,192.168.36.40,10.0.49.238,254.60427789319368,0.293764095334313
NET_233,2023-12-05 09:21:00,192.168.227.90,10.0.82.42,229.7410652324186,0.7671461622542953
NET_234,2023-05-15 20:26:00,192.168.6.60,10.0.198.207,36.04877873471408,0.18994024036668467
NET_235,2023-08-11 14:42:00,192.168.235.47,10.0.73.61,95.43512010760294,0.5423176045559762
NET_236,2023-01-19 03:26:00,192.168.119.248,10.0.145.66,448.6856509330304,0.46226067720658304
NET_237,2023-11-30 03:55:00,192.168.252.112,10.0.125.183,187.26250670064852,0.5443943866436849
NET_238,2023-10-03 12:04:00,192.168.150.86,10.0.180.183,274.3700555102987,0.3526574238117396
NET_239,2023-05-13 02:09:00,192.168.44.108,10.0.19.85,406.1717781517711,0.586596720262318
NET_240,2023-05-29 11:26:00,192.168.242.108,10.0.163.12,224.88042386954618,0.6753304852742184
NET_241,2023-08-01 18:11:00,192.168.63.163,10.0.128.152,55.81951109764472,0.2648353527650653
NET_242,2023-04-03 03:44:00,192.168.253.102,10.0.94.113,13.444666469433194,0.12742615721582218
NET_243,2023-07-11 15:33:00,192.168.64.217,10.0.61.53,25.287220602565846,0.48949899167002564
NET_244,2023-04-17 13:10:00,192.168.64.214,10.0.233.166,84.44974504835882,0.5996262649519262
NET_245,2023-08-16 00:20:00,192.168.248.24,10.0.158.121,63.37289754374673,0.022094227335988315
NET_246,2023-08-02 14:09:00,192.168.224.126,10.0.76.187,393.18998785458575,0.023231212882903973
NET_247,2023-03-24 06:08:00,192.168.8.181,10.0.154.122,198.86202830760695,0.44162141943090716
NET_248,2023-06-21 13:28:00,192.168.47.76,10.0.130.56,110.5014930505303,0.45201094035965583
NET_249,2023-04-23 12:16:00,192.168.192.213,10.0.143.93,56.656763147614065,0.5670807597617528
NET_250,2023-10-09 18:53:00,192.168.228.226,10.0.3.235,104.60706614116559,0.6720152222994605
NET_251,2023-06-17 06:49:00,192.168.85.23,10.0.214.210,15.426416844247603,0.9050464699388521
NET_252,2023-05-17 04:05:00,192.168.239.49,10.0.45.129,401.05377200560577,0.2267869656028647
NET_253,2023-02-08 03:34:00,192.168.141.210,10.0.75.120,495.62822838228516,0.9087322523327008
NET_254,2023-08-18 00:51:00,192.168.183.13,10.0.224.136,281.941370990148,0.687726115458576
NET_255,2023-12-05 13:29:00,192.168.138.186,10.0.209.122,397.90060618442647,0.7692473782836612
NET_256,2023-02-26 23:49:00,192.168.82.201,10.0.62.7,419.1097985552217,0.5435181051033979
NET_257,2023-12-25 08:05:00,192.168.156.96,10.0.227.45,201.7589941852944,0.9744120370664809
NET_258,2023-10-23 07:36:00,192.168.148.188,10.0.35.1,149.22457113721177,0.14834253558766808
NET_259,2023-06-20 20:26:00,192.168.225.37,10.0.57.84,189.1815803980879,0.5336712969127885
NET_260,2023-06-27 14:27:00,192.168.125.74,10.0.7.224,142.62714106646436,0.8336938104565323
NET_261,2023-04-15 17:50:00,192.168.202.53,10.0.213.33,324.726591992638,0.5378640978010893
NET_262,2023-03-09 14:45:00,192.168.240.221,10.0.2.26,50.03557945664263,0.9430950325415953
NET_263,2023-02-26 03:09:00,192.168.208.83,10.0.124.33,458.30470953039236,0.605869159590757
NET_264,2023-07-19 13:23:00,192.168.122.45,10.0.189.5,5.842695456748755,0.24556502200339647
NET_265,2023-04-01 06:35:00,192.168.188.136,10.0.1.53,17.468287030069614,0.39945605950177543
NET_266,2023-04-05 05:51:00,192.168.154.86,10.0.60.255,438.31671348346646,0.7218134177028147
NET_267,2023-02-14 01:42:00,192.168.82.31,10.0.14.71,222.0389607069225,0.7633121539750335
NET_268,2023-02-24 15:21:00,192.168.82.21,10.0.219.173,302.7801188440006,0.5630646904221105
NET_269,2023-09-18 10:30:00,192.168.249.73,10.0.223.79,42.18013117741611,0.5785976717896985
NET_270,2023-03-11 15:53:00,192.168.47.111,10.0.75.89,158.47656695936453,0.9844150005225913
NET_271,2023-11-19 03:24:00,192.168.103.200,10.0.182.100,202.3885113638162,0.6344240368519298
NET_272,2023-02-25 05:26:00,192.168.84.63,10.0.118.146,384.8607069453321,0.4226965475781891
NET_273,2023-06-09 23:49:00,192.168.135.87,10.0.54.218,413.3358427515824,0.028740827552748094
